Авиакомпания;Часовой пояс;Шаблон
SQ;Не указано;1S TO SQ BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
SU;Не указано;1S ATTN LAST DAY FOR TICKETING {dd}{MMM}{yy} OR PNR WILL BE CNLD
SU;Не требуется;1S ATTN TKT MUST BE COMPLETED WITHIN {+HH} HOURS AFTER RES
SU;Не требуется;1S ATTN CRT FLT TKT MUST BE COMPLETED WITHIN {+HH}H AFTER RES
SU;Город в сообщении;1S ADV TKT BY {HH}{mm} {cty} {dd}{MMM} OR PNR WILL BE CXLD
SU;Не указано;1S ATTN CRIT FLT LAST DAY FOR TICKETING {dd}{MMM}
TG;Не указано;1S TO TG BY {dd}{MMM} {HH}{mm} OTHERWISE WILL BE XLD
TK;Не указано;AA TO  TK BY {dd}{MMM} {HH}{mm} IRC-2/ADV OTO TKT
TK;Не указано;AA TO  TK BY {dd}{MMM} {HH}{mm} IRC-2/ADV MORE TKT
TP;Город в сообщении;1S ADTK BY {HH}{mm} {cty}/{dd}{MMM}{yy} OR TP SPACE WILL BE CXLD
U6;Город в сообщении;1S PLS ISSUE TKT BY {HH}{mm} {dd}{MMM}{yy}/{cty} OR SUBJECT TO AUTOCXL BY U6
UA;Не указано;1S {segstat}{paxnum}.TKT UASEGS BY {dd}{MMM}{yy} TO AVOID AUTO CXL /EARLIER
UT;GMT;1S UT-{fltnum}/{fltdd}{fltMMM}{fltyy} BY {dd}{MMM}/{HH}{mm}Z OR CNL
UT;GMT;1S TO UT BY {dd}{MMM} {HH}{mm}Z OTHERWISE WILL BE CANCELLED
UX;Не указано;1S PLS REMEMBER TO ADTK BY {HH}{mm}/{dd}{MMM}{yyyy} OR XX PNR/ UXSPCTRL
VN;Город в сообщении;1S ADV TKT BY {dd}{MMM}{yy} {HH}{mm}{cty}RU OR WL BE CXLD
VS;Не указано;1S {segstat}{paxnum}.UNTKTDVS SEGS MAY CANX {dd}{MM}{yy}
YE;GMT;1S AUTO XX IF SSR TKNE NOT RCVD BY {HH}{mm}/{dd}{MMM}/UTC
